"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",https://p0.meituan.net/movie/2bbaa395c825920fac397706369746e4300686.jpg@160w_220h_1e_1c,17,9.2,1998-10-28(意大利),海上钢琴师
"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@160w_220h_1e_1c,18,9.0,2000-01-14,黑客帝国
"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",https://p1.meituan.net/movie/aacb9ed2a6601bfe515ef0970add1715623792.jpg@160w_220h_1e_1c,19,9.1,2002-01-26,哈利·波特与魔法石
"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@160w_220h_1e_1c,20,9.2,2004-03-15,指环王3：王者无敌
actor,image,index,score,time,title
"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@160w_220h_1e_1c,21,9.3,2008-07-18(美国),蝙蝠侠：黑暗骑士
"刘德华,梁朝伟,黄秋生",https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@160w_220h_1e_1c,22,9.1,2003-09-05,无间道
"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",https://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@160w_220h_1e_1c,23,8.9,1998-06-01(美国),楚门的世界
"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@160w_220h_1e_1c,24,8.9,2003-11-21,加勒比海盗
"张国荣,梁朝伟,张学友",https://p1.meituan.net/movie/53b6f0b66882a53b08896c92076515a8236400.jpg@160w_220h_1e_1c,25,8.9,1993-02-05(中国香港),射雕英雄传之东成西就
"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@160w_220h_1e_1c,26,9.0,1974-12-12(美国),教父2
"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@160w_220h_1e_1c,27,9.3,2008-06-27(美国),机器人总动员
"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",https://p1.meituan.net/movie/dd08154878aac7c8c649fe3eeb8ccd0a2498277.jpg@160w_220h_1e_1c,28,9.0,2002-04-04,指环王1：护戒使者
"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",https://p0.meituan.net/movie/02bb9fd161c05bad6089133098efcdb5546589.jpg@160w_220h_1e_1c,29,9.1,2003-04-25,指环王2：双塔奇兵
