,address,area,jianzhu,link,name,num,price
150,甘露园-四至五环,丰台,建筑年代：1990年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027374649/,甘露园南里,40栋,54528
151,甘家口-二至三环,丰台,建筑年代：1960年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027374608/,甘家口小区,27栋,88544
152,万柳-三至四环,丰台,建筑年代：2001年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027381088/,新起点嘉园,12栋,92190
153,六铺炕-二至三环,丰台,建筑年代：1981年 ~ 2003年,https://m.lianjia.com/bj/xiaoqu/1111027375257/,黄寺大街24号院,22栋,131511
154,马甸-二至三环,丰台,建筑年代：1985年 ~ 1995年,https://m.lianjia.com/bj/xiaoqu/1111027378248/,马甸南村,16栋,136473
155,苏州桥-三至四环,丰台,建筑年代：1980年 ~ 2016年,https://m.lianjia.com/bj/xiaoqu/1111027381078/,小南庄社区,37栋,88625
156,定慧寺-三至四环,丰台,建筑年代：1994年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027376896/,定慧北里,20栋,75249
157,清河-五至六环,丰台,建筑年代：2003年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027378951/,清缘东里,9栋,70778
158,天通苑-五至六环,丰台,建筑年代：2001年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027380051/,天通苑东一区,66栋,36593
159,北工大-三至四环,丰台,建筑年代：1992年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027378758/,平乐园小区,30栋,59934
160,青塔-四至五环,丰台,建筑年代：2013年 ~ 2015年,https://m.lianjia.com/bj/xiaoqu/1111045501689/,广安﹒康馨家园,26栋,47009
161,广安门-二至三环,丰台,建筑年代：2004年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027381801/,远见名苑,14栋,89967
162,安贞-三至四环,丰台,建筑年代：1983年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027375686/,安贞西里,64栋,81125
163,刘家窑-三至四环,丰台,建筑年代：2010年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027379384/,宋家庄家园,13栋,48742
164,望京-四至五环,丰台,建筑年代：1997年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027380317/,望京新城,26栋,60465
165,枣园-五至六环,丰台,建筑年代：1989年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027375859/,滨河西里,51栋,40792
166,朝青-四至五环,丰台,建筑年代：2007年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027374654/,国美第一城3号院,8栋,60273
167,回龙观-五至六环,丰台,建筑年代：2003年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027378138/,流星花园三区,39栋,53123
168,顺义其它-六环外,丰台,建筑年代：2003年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027376853/,东方太阳城,417栋,37564
169,定慧寺-三至四环,丰台,建筑年代：1989年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027373697/,定慧西里,28栋,73654
170,回龙观-五至六环,丰台,建筑年代：2006年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027381003/,新龙城,41栋,52742
171,中关村-三至四环,丰台,建筑年代：1980年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027373798/,东南小区,48栋,122078
172,清河-五至六环,丰台,建筑年代：2007年 ~ 2018年,https://m.lianjia.com/bj/xiaoqu/1111027380722/,橡树湾,32栋,91293
173,紫竹桥-三至四环,丰台,建筑年代：1984年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027376363/,车道沟南里,32栋,84404
174,果园-五至六环,丰台,建筑年代：2004年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027380846/,新华联家园北区,37栋,49536
175,天通苑-五至六环,丰台,建筑年代：2001年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027380049/,天通苑东二区,41栋,35909
176,奥林匹克公园-五至六环,丰台,建筑年代：2000年 ~ 2006年,https://m.lianjia.com/bj/xiaoqu/1111027380342/,万科星园,17栋,75175
177,西三旗-五至六环,丰台,建筑年代：1997年 ~ 2003年,https://m.lianjia.com/bj/xiaoqu/1111027380996/,新康园,11栋,48894
178,玉泉路-四至五环,丰台,建筑年代：1997年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027381754/,玉海园五里,21栋,69303
179,军博-二至三环,丰台,建筑年代：1983年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027379798/,铁东小区,22栋,83000
180,大望路-三至四环,丰台,建筑年代：2004年 ~ 2006年,https://m.lianjia.com/bj/xiaoqu/1111027382490/,珠江帝景,18栋,83103
181,和平里-二至三环,丰台,建筑年代：1980年 ~ 2002年,https://m.lianjia.com/bj/xiaoqu/1111027373924/,地坛北里,12栋,99553
182,中关村-三至四环,丰台,建筑年代：1963年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027376959/,黄庄小区,35栋,117503
183,高碑店-四至五环,丰台,建筑年代：1999年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027381021/,兴隆家园,32栋,58388
184,天通苑-五至六环,丰台,建筑年代：2007年 ~ 2016年,https://m.lianjia.com/bj/xiaoqu/1111027380057/,天通苑中苑,60栋,40414
185,天通苑-五至六环,丰台,建筑年代：2000年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027380054/,天通西苑三区,34栋,33097
