债券简称,债券代码,正股代码,上市时间,现价,今开,振幅,最高,最低,昨收,成交量,成交额
翔鹭转债,128072,072842,2019-08-20T00:00:00,1056.11,1063.0,121.0%,1069.0,1056.1,1063.0,4053,4301396.0
欧派转债,113543,754833,2019-08-16T00:00:00,124.43,124.4,126.0%,125.87,124.3,125.02,2247,2796669.0
合兴转债,128071,072228,2019-08-16T00:00:00,1101.1,1124.0,301.0%,1130.0,1096.51,1110.9,59986,66798305.0
英科转债,123029,370677,2019-08-16T00:00:00,3380.0,3549.9,538.0%,3549.95,3360.11,3526.98,92495,318526512.0
好客转债,113542,754898,2019-08-01T00:00:00,113.41,113.49,47.0%,113.8,113.27,113.27,5026,5702095.0
荣晟转债,113541,754165,2019-07-23T00:00:00,111.33,111.36,67.0%,111.8,111.05,111.36,5785,6435191.0
南威转债,113540,754636,2019-07-15T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
圣达转债,113539,754079,2019-07-03T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
智能转债,128070,072877,2019-07-02T00:00:00,1180.0,1226.0,1662.0%,1353.83,1152.3,1212.9,1701245,2130308608.0
安图转债,113538,754658,2019-06-28T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
华森转债,128069,072907,2019-06-24T00:00:00,1211.28,1280.0,825.0%,1298.0,1193.95,1260.51,181196,224690549.0
清水转债,123028,370437,2019-06-19T00:00:00,1115.0,1121.5,128.0%,1126.0,1111.65,1121.5,3442,3841730.0
环境转债,113028,783200,2019-06-18T00:00:00,129.85,130.0,95.0%,131.09,129.85,130.68,5777,7534072.0
华钰转债,113027,783020,2019-06-14T00:00:00,108.21,108.43,145.0%,109.6,108.03,108.48,9157,9965535.0
蓝晓转债,123027,370487,2019-06-11T00:00:00,1165.86,1182.0,205.0%,1186.3,1162.0,1183.23,5760,6744266.0
文灿转债,113537,754348,2019-06-10T00:00:00,113.98,114.05,142.0%,115.33,113.71,114.43,2085,2386453.0
