,债券简称,正股代码,上市时间,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
248,崇达转债,2815,2018-01-22T00:00:00,2815,崇达技术,16.93,1.74%,-0.28,39102,66562765.0,1.74%,17.23,16.93,17.21,17.21,0.85
249,泰晶转债,603738,2018-01-02T00:00:00,603738,泰晶科技,24.49,3.15%,-0.59,52697,129828402.0,3.15%,25.09,24.3,25.09,25.08,1.25
250,蓝思转债,300433,2018-01-17T00:00:00,300433,蓝思科技,16.71,2.25%,-0.15,257120,429991056.0,2.25%,16.94,16.56,16.93,16.86,0.69
251,特一转债,2728,2017-12-28T00:00:00,2728,特一药业,16.07,1.93%,0.03,18512,29803284.0,1.93%,16.26,15.95,16.21,16.04,1.81
252,特一转债,2728,2017-12-28T00:00:00,2728,特一药业,16.06,1.93%,0.02,18515,29808102.0,1.93%,16.26,15.95,16.21,16.04,1.81
253,亚太转债,2284,2017-12-26T00:00:00,2284,亚太股份,4.71,1.91%,0.01,28011,13253291.0,1.91%,4.78,4.69,4.73,4.7,1.08
254,众信转债,2707,2017-12-28T00:00:00,2707,众信旅游,4.67,3.59%,-0.07,76006,35846029.0,3.59%,4.83,4.66,4.79,4.74,1.21
255,国祯转债,300388,2017-12-25T00:00:00,300388,国祯环保,10.33,0.77%,-0.09,16595,17176770.0,0.77%,10.39,10.31,10.39,10.42,0.55
256,国祯转债,300388,2017-12-25T00:00:00,300388,国祯环保,10.32,0.77%,-0.1,16686,17270682.0,0.77%,10.39,10.31,10.39,10.42,0.54
257,生益转债,600183,2017-12-11T00:00:00,600183,生益科技,31.58,4.12%,0.74,141784,442952336.0,4.12%,31.8,30.53,30.84,30.84,1.26
258,水晶转债,2273,2017-12-12T00:00:00,2273,水晶光电,13.51,2.98%,-0.26,162427,220048503.0,2.98%,13.83,13.42,13.78,13.77,1.03
259,宝信转债,600845,2017-12-05T00:00:00,600845,宝信软件,47.33,3.54%,-1.2,37246,178483367.0,3.54%,48.93,47.21,48.54,48.53,0.8
260,济川转债,600566,2017-11-29T00:00:00,600566,济川药业,22.57,3.09%,-0.06,62167,141711026.0,3.09%,23.15,22.45,22.7,22.63,1.85
261,时达转债,2527,2017-12-04T00:00:00,2527,新时达,5.16,1.55%,0.0,17196,8885981.0,1.55%,5.23,5.15,5.18,5.16,0.69
262,金禾转债,2597,2017-11-27T00:00:00,2597,金禾实业,20.42,3.85%,-0.08,58063,118766857.0,3.85%,20.85,20.06,20.34,20.5,1.45
263,国君转债,601211,2017-07-24T00:00:00,601211,国泰君安,16.71,0.83%,-0.07,62979,105496689.0,0.83%,16.83,16.69,16.82,16.78,0.58
264,久其转债,2279,2017-06-27T00:00:00,2279,久其软件,6.73,5.11%,-0.31,247761,168169585.0,5.11%,7.03,6.67,6.99,7.04,1.3
265,模塑转债,700,2017-06-26T00:00:00,700,模塑科技,8.52,3.11%,-0.15,180084,154813206.0,3.11%,8.77,8.5,8.75,8.67,0.96
266,永东转债,2753,2017-05-12T00:00:00,2753,永东股份,6.88,1.75%,0.03,2963,2045096.0,1.75%,6.93,6.81,6.81,6.85,0.99
267,骆驼转债,601311,2017-04-13T00:00:00,601311,骆驼股份,8.65,0.81%,-0.02,23999,20777559.0,0.81%,8.7,8.63,8.7,8.67,0.73
268,光大转债,601818,2017-04-05T00:00:00,601818,光大银行,3.59,0.83%,-0.01,348499,125293853.0,0.83%,3.61,3.58,3.6,3.6,0.95
269,海印转债,861,2016-07-01T00:00:00,861,海印股份,2.85,4.29%,0.05,176760,50346801.0,4.29%,2.9,2.78,2.8,2.8,1.28
270,辉丰转债,2496,2016-05-17T00:00:00,2496,辉丰股份,2.51,1.97%,-0.03,77449,19394952.0,1.97%,2.53,2.48,2.51,2.54,1.38
271,江南转债,601199,2016-04-05T00:00:00,601199,江南水务,4.12,2.92%,0.01,74037,30391631.0,2.92%,4.18,4.06,4.08,4.11,1.02
272,白云转债,600004,2016-03-15T00:00:00,600004,白云机场,14.96,3.9%,0.33,70701,105006246.0,3.9%,15.1,14.53,14.55,14.63,1.34
273,顺昌转债,2245,2016-02-23T00:00:00,2245,澳洋顺昌,3.92,1.77%,-0.04,34554,13584730.0,1.77%,3.98,3.91,3.96,3.96,0.92
274,顺昌转债,2245,2016-02-23T00:00:00,2245,澳洋顺昌,3.91,1.77%,-0.05,35145,13815812.0,1.77%,3.98,3.91,3.96,3.96,0.93
275,顺昌转债,2245,2016-02-23T00:00:00,2245,澳洋顺昌,3.91,1.77%,-0.05,35145,13815812.0,1.77%,3.98,3.91,3.96,3.96,0.93
276,国贸转债,600755,2016-01-19T00:00:00,600755,厦门国贸,6.24,0.8%,-0.04,33976,21283006.0,0.8%,6.29,6.24,6.27,6.28,0.86
277,国贸转债,600755,2016-01-19T00:00:00,600755,厦门国贸,6.24,0.8%,-0.04,33976,21283006.0,0.8%,6.29,6.24,6.27,6.28,0.86
278,蓝标转债,300058,2016-01-08T00:00:00,300058,蓝色光标,6.52,4.3%,-0.23,566654,372545904.0,4.3%,6.77,6.48,6.71,6.75,0.88
279,航信转债,600271,2015-06-30T00:00:00,600271,航天信息,19.57,1.57%,-0.15,64950,127367318.0,1.57%,19.83,19.52,19.83,19.72,0.9
280,航信转债,600271,2015-06-30T00:00:00,600271,航天信息,19.56,1.57%,-0.16,65040,127543422.0,1.57%,19.83,19.52,19.83,19.72,0.9
281,格力转债,600185,2015-01-13T00:00:00,600185,格力地产,4.73,4.32%,0.1,71871,34146951.0,4.32%,4.82,4.62,4.62,4.63,2.3
282,洛钼转债,603993,2014-12-16T00:00:00,603993,洛阳钼业,3.47,1.72%,-0.01,346563,120846527.0,1.72%,3.52,3.46,3.5,3.48,0.91
283,浙能转债,600023,2014-10-28T00:00:00,600023,浙能电力,3.4,0.88%,-0.01,50532,17210790.0,0.88%,3.42,3.39,3.42,3.41,0.76
284,齐峰转债,2521,2014-10-10T00:00:00,2521,齐峰新材,5.65,2.52%,0.1,48686,27325294.0,2.52%,5.67,5.53,5.56,5.55,1.9
285,通鼎转债,2491,2014-09-05T00:00:00,2491,通鼎互联,5.73,2.56%,-0.12,85982,49545146.0,2.56%,5.87,5.72,5.85,5.85,1.44
286,通鼎转债,2491,2014-09-05T00:00:00,2491,通鼎互联,5.73,2.56%,-0.12,85982,49545146.0,2.56%,5.87,5.72,5.85,5.85,1.44
287,冠城转债,600067,2014-08-01T00:00:00,600067,冠城大通,3.52,1.15%,0.03,13069,4594787.0,1.15%,3.54,3.5,3.51,3.49,0.74
288,东方转债,600875,2014-07-25T00:00:00,600875,东方电气,8.9,1.45%,-0.07,43583,38790748.0,1.45%,8.98,8.85,8.97,8.97,0.68
289,东方转债,600875,2014-07-25T00:00:00,600875,东方电气,8.89,1.45%,-0.08,43633,38835212.0,1.45%,8.98,8.85,8.97,8.97,0.68
290,国金转债,600109,2014-06-03T00:00:00,600109,国金证券,9.23,1.29%,-0.08,131918,122164847.0,1.29%,9.32,9.2,9.3,9.31,0.63
291,国金转债,600109,2014-06-03T00:00:00,600109,国金证券,9.21,1.29%,-0.1,133446,123572862.0,1.29%,9.32,9.2,9.3,9.31,0.63
292,平安转债,601318,2013-12-09T00:00:00,601318,中国平安,71.94,1.36%,-0.13,198762,1436279776.0,1.36%,72.8,71.82,72.39,72.07,0.79
293,隧道转债,600820,2013-09-30T00:00:00,600820,隧道股份,5.68,1.4%,-0.04,45580,25992526.0,1.4%,5.75,5.67,5.74,5.72,0.66
294,华天转债,2185,2013-08-28T00:00:00,2185,华天科技,12.19,3.05%,-0.26,1223085,1492648400.0,3.05%,12.43,12.05,12.43,12.45,0.76
295,东华转债,2065,2013-08-19T00:00:00,2065,东华软件,13.5,2.34%,-0.18,272830,369952416.0,2.34%,13.75,13.43,13.69,13.68,0.86
296,东华转债,2065,2013-08-19T00:00:00,2065,东华软件,13.49,2.34%,-0.19,272892,370036096.0,2.34%,13.75,13.43,13.69,13.68,0.86
297,民生转债,600016,2013-03-29T00:00:00,600016,民生银行,5.67,0.7%,-0.03,280460,159432453.0,0.7%,5.71,5.67,5.71,5.7,0.87
298,泰尔转债,2347,2013-01-28T00:00:00,2347,泰尔股份,4.22,1.42%,-0.02,14700,6225306.0,1.42%,4.27,4.21,4.24,4.24,0.82
