,con,hot,id,name,room
174,DOTA2,18.4万,/3507497,Amsssss,【声优】用声音说爱你
175,英雄联盟,18.3万,/4814609,杰克螳螂,【交友】”卑皇 惜念”冠名！
176,颜值,18.2万,/6532591,林以安阿,【乐乐】八月，你好！【㋇㏠】
177,交友,18.1万,/7280267,SR一菲尼莫属,【交友】由浣熊哥独家冠名
178,一起看,18.1万,/3649581,鲜夕阳,✨心动可可✨超甜女友一起看电影
179,DOTA2,18.1万,/957090,踏上征途167,宇宙吕布巅峰赛！
180,绝地求生,18万,/138293,天然呆老湿,嘘~这里有个小仙女。
181,DNF,17.8万,/3989773,蛮小兔,IM赛季上分 打个9连胜
182,电台,17.8万,/5103313,NJ南浔酱,你的硬核男孩《Rage In Peac》
183,角色扮演,17.8万,/94228,狐狸酱大魔王,阿姨牛排好吃
184,怀旧游戏,17.7万,/2106575,英雄吕布,八月也要加油哦~~
185,lol云顶之弈,17.6万,/4430775,主播红老嗨,最强杰克螳螂
186,DOTA2,17.6万,/19002,imbadota2频道,夏日特饮林以安
187,和平精英,17.4万,/727215,七岚丶,【交友】SR一菲尼莫属
188,绝地求生,17.2万,/5669923,熊熊熊熊熊yo,【污夕阳】科幻 灾难 喜剧 动作 电影
189,交友,17.2万,/7261179,君悦一鬼城,狗皇：冷静 Top100！冲
190,王者荣耀,17.2万,/5418438,一个磨人的小灵儿,呆呆: 电竞胡夏 米拉吗 1 人 4排
191,王者荣耀,17.1万,/6583631,菊花666丶,【蛮兔】黄金书来了！整几本？
192,我的世界,17.1万,/65000,籽岷,直/喜欢和感动都藏在声音里
193,乡野,17.1万,/2346676,黑哥户外,8月带着夏天来了！
194,颜值,17万,/6432201,雯子有点甜,暗黑2 专家 飞镖刺客 禁用符文 开荒
195,绝地求生,17万,/6174121,小脑斧彦霖,家里停电了！云顶冲大师！
196,QQ飞车端游,17万,/5047677,BN丶严斌,DOTA2发展联赛重播
197,角色扮演,17万,/85963,主播温州炮哥,免费上车，先死办卡
198,英雄联盟,16.7万,/4908245,Mouse光酱,有没有妹纸来打游戏呢
199,第5人格,16.7万,/934720,瓦不管不管,【交友】灵魂天籁
200,传奇,16.6万,/269666,逆天丶小哥哥,其实我是个颜值主播的
201,lol云顶之弈,16.6万,/53964,许多毛TNT,国服带粉24-30，1飞机王者
202,棋牌娱乐,16.6万,/297535,恶蚊子,开始播新游戏啦~
203,完美世界手游,16.6万,/634303,634303丶庸俗,愚夫身无分文尽努力多赚点钱
204,颜值,16.6万,/6911512,你的乔乔呀,八月第一天~
205,交友,16.5万,/6358908,遇见一恋爱达人,kakao冲100
206,一起看,16.4万,/4549169,橙橙子丶剧集舍,来了来了，今天迟到了，现在开始起飞
207,传奇,16.4万,/1747051,80星王合击散人服,等一下，我去做个头发
208,绝地求生,16.4万,/1397516,dreameryu,光酱：云顶之弈钻石~
209,颜值,16.3万,/6921534,一个磨人的小甜饼,【不管】 行为艺术GO
210,英雄联盟,16.3万,/729149,冷爷行妹,♥♥ ８０星王合击♥♥今日首区
211,剑网3,16.3万,/593061,落叶听松,许多毛：国服大师排位，鸡你太美！
212,风暴英雄,16.2万,/9500,Novaa,来了来了，他来了~~~~~~
213,二次元,16.2万,/1723914,沧笙踏歌yyy,顶级精炼圆梦师 台马服可衝 可點25
214,英雄联盟,16.2万,/22519,TBQ逃跑权,八月第一天 冲鸭！
215,交友,16.2万,/6344696,遇见一黑金1st,【交友】本厅由骑士/老肥/羊排豪气冠名❤
216,汽车,16.2万,/482114,雪鹰哥麻辣车评,「橙子Orange」「港剧」「19点见」
217,鱼教,16.1万,/309162,羽伞恐怖故事,【公益█不卖元宝█散人打金传奇】
218,英雄联盟,15.9万,/6717704,峡谷杀神酱油瓶,【鳗鱼】八月的雨
219,颜值,15.9万,/6189365,小阿狸up,好害羞，你别看啦~
220,美食,15.8万,/1443964,野食小哥,【夫妻黑店】进来你就出不去啦~
221,DOTA2,15.8万,/4835718,痒痒虫阿,乡亲们，来晚了喔
222,皇室战争,15.7万,/464311,主播鸣圣,【Nova】CJ我只去8月4号。。。
223,王者荣耀,15.7万,/5175512,兽大王啊,直 | 唱最好听的古风歌
224,颜值,15.5万,/5517483,玲妹妹ii,5天内王者~
225,lol云顶之弈,15.5万,/4785487,解说十一,【交友】我像只鱼儿在你的池塘
226,英雄联盟,15.4万,/8302,祈风1v9,汽车行业你强大后盾，雪鹰哥。
227,舞蹈,15.2万,/1965453,大琳Dalin,午夜恐怖故事...
228,颜值,15.2万,/6800937,鹿屿嘉嘉嘉JIa,韩服2星期上王者第四天
229,穿越火线,15.1万,/300401,皮皮拉3004O1,哈哈哈哈哈哈哈6189365
230,休闲益智,14.9万,/428250,瓜皮蛙蛙,斗鱼宝宝快到哥哥的鱼塘来！
231,部落冲突,14.8万,/223379,云涛解说,痒痒虫：HUAHUA~
232,探灵笔记,14.8万,/5244018,摇摇摇摇光,鸣圣：抽天梯圆梦直播间
233,自走棋,14.7万,/3943004,方歌YF,八月啦，近我者富哇
234,英雄联盟,14.7万,/600290,浪灯丶,四川陈乔恩？
235,颜值,14.6万,/4638682,小丽比,十一：云顶，速来吃鸡屁股！
236,王者荣耀,14.6万,/5669195,亚瑟王丶Z,国服第一VN！一个打八百多个！
237,JJ斗地主,14.5万,/488743,JJ比赛,女孩子太要强会没人疼的哦-
238,王者荣耀,14.4万,/5315971,viko酱丶,粤语歌come!!!
239,角色扮演,14.4万,/310904,巴格拉斯,办卡参与抽飞行棋终点！~
240,电台,22.3万,/6306934,念言wzz,S4五星开包之王—死鱼ysy
241,跑跑手游,22.2万,/42004,丶田鸡,云顶小天才! 今天不搞笑!认真上分教学!
242,跑跑手游,22.1万,/64593,钟祥思奇,高颜声酥钢枪王
243,天涯明月刀,22.1万,/447646,腾讯活动专用直播间,官人里面请 6862507
244,二次元,22.1万,/500519,骚乖可爱宝贝朴,您的暑假已过半 晚上玩游戏
245,二次元,22万,/3276456,贝拉小姐姐,芹泽：我你妹的，终于也是有樱木的人了~
246,颜值,22万,/5515841,喵小莎,【交友】由浣熊哥独家冠名
247,QQ飞车,21.9万,/4298793,DY丶皮皮炸,【喵十七】听说这是个后宫游戏
248,QQ飞车,21.8万,/3219235,青青青青青青山,牛家村:八月 加油!
249,和平精英,21.8万,/1380899,皮西蒙丷,来自广东的新人蛋
250,穿越火线,21.6万,/212123,战颜贝,【直播】一首歌~一个故事~
251,王者荣耀,21.5万,/5355695,雪碧丶国一狄仁杰,田鸡: 每天21点教学。扫盲
252,王者荣耀,21.4万,/3361877,AQ丶果粒,思奇：今晚20点车队赛
253,CS:GO,21.3万,/1747489,毛子Reckless,天涯明月刀剑荡八荒线下总决赛-重播
254,王者荣耀,21.3万,/5094760,青鸾少年云天河,上海大型户外直播
255,马里奥制造,21.2万,/510541,KazeLink,大家晚上好 3276456
